episode,reward,score,steps,epsilon,loss_mean,ma100_reward
471,-0.3137,0,124,0.3903,0.079314,-0.21
472,0.5072,0,31,0.3895,0.074514,-0.2166
473,-1.0488,0,5,0.3887,0.079166,-0.2682
474,0.0158,0,72,0.3879,0.068286,-0.2539
475,1.3398,0,68,0.3871,0.071666,-0.2424
476,0.1526,0,112,0.3864,0.074777,-0.2307
477,-3.6442,0,400,0.3856,0.073475,-0.2764
478,0.9549,0,77,0.3848,0.078672,-0.2329
479,-1.085,0,25,0.3841,0.083888,-0.2338
480,-1.8245,0,312,0.3833,0.07648,-0.2683
481,0.3824,0,71,0.3825,0.075279,-0.2722
482,-1.0,0,1,0.3818,0.060173,-0.2793
483,0.9171,0,36,0.381,0.089202,-0.2679
484,-0.3011,0,29,0.3802,0.065518,-0.2568
485,2.982,1,117,0.3795,0.069372,-0.2329
486,0.3341,0,118,0.3787,0.068559,-0.2198
487,-0.5092,0,169,0.378,0.07561,-0.2276
488,0.4247,0,55,0.3772,0.068232,-0.2274
489,0.9849,0,67,0.3764,0.066455,-0.2444
490,-0.509,0,400,0.3757,0.071506,-0.2657
491,2.0936,0,47,0.3749,0.058772,-0.2348
492,3.4152,1,69,0.3742,0.078314,-0.1981
493,-0.6596,0,118,0.3734,0.069729,-0.1881
494,3.0889,1,122,0.3727,0.071925,-0.1422
495,0.6627,0,39,0.372,0.083213,-0.1256
496,1.3947,0,112,0.3712,0.078346,-0.1119
497,-1.8741,0,173,0.3705,0.069747,-0.1201
498,-0.5394,0,149,0.3697,0.0722,-0.1113
499,0.8102,1,328,0.369,0.071515,-0.1326
500,0.5287,0,119,0.3682,0.07073,-0.1148
501,-1.2433,0,24,0.3675,0.074954,-0.117
502,-1.211,0,13,0.3668,0.076401,-0.1219
503,-1.0,0,1,0.366,0.038115,-0.12
